local_id,tweet,primary_emotion,anger,sadness,fear,happiness,disgust,surprise,other
1,#ژاپن امشب در فوتبال#آلمان بزرگ را #برد اما حتی یک دلار #پاداش هم نگرفتند علت؟؟ خب مشخصه تفکر ژاپنی میگه شما برای باخت آنجا نرفته اید بردن #وظیفه شماست حس تثییت برتری جویی اینگونه در ژاپنی ها نهادینه میشود #جام_جهانی_قطر #عربستان #ایران,anger,1,0,0,1,0,0,0
2,قهرمانان ملت ما جهادگران ایثارگر و #شهدای_گمنام هستند نه #سلبریتی های منفعت‌طلب و شیفته #شهرت,anger,1,1,0,1,1,0,0
3,تعريف تو از منطق چيه؟ ٢ دو تا ميشه چهارتا؟ تظاهرات مسالحمت آميز و اعتراضاتى كه از #دى_٩٦ با سركوب مواجه شد،تا #مهسا_امینی كه قتل و شقاوت واقعه ايى شان را بر ملا كرد. حال #اهريمنى روبروى ماست،جهان كمين نفت و قراداد #اتمى به ما ديكته ميكنند كه اگر #مسلح شويد،حمايت نميشويد!!!جداً؟,anger,1,0,0,0,1,0,0
4,<@USERNAME> #آسیدجواد که معلومه کجاست! کسی که روزی خور خاندان کرامت بوده الان هم متنعم سر همون سفرست #آسید جواد رو اقاش بزرگش کرد عزیزش کرد,happiness,0,1,0,1,0,0,0
5,یه سوال اگر یک روزی عمله های بن سلمان تو #سعودی_اینترنشنال از انگلیس اخراج بشن یا بخوان به یه کشور دیگه فرار کنند عربستان سعودی راهشون میده؟ #وطن_فروش #آواره <URL>,disgust,1,0,0,0,1,0,0
6,اغتشاشات به پایانش نزدیک شده،فراخوان های مزدوران فیک از خارج هم دیگه بی اثر شده، سرشاخه های اصلی بازداشت شدند، والبته جوگیرایی که هرزه گی رو به بهانه حقوق زن دنبال میکردند هم بیشترشون دستگیر. #رشت یه میلیونی به زور دو هزار نفر همراشون بود. #درماندگی وطن فروش #مهسا_امینی,happiness,1,0,0,1,1,0,0
7,کدامیک ارزوی شماست؟ لطفا در این نظر سنجی شرکت فرمایید. سپاس,other,0,0,0,0,0,0,1
8,"زنگنه در پاسخ به اینکه #بنزین رو تا چه حد می‌خوان افزایش قیمت بدن گفت: ""تا حدی که مردم تحمل کنن."" حالا این سیاست داره در مورد #دلار بکار می‌ره. مهم ۵۷ تومن نیست، بلکه میزان #تحمل مردمه. #ایران_ما",anger,1,1,0,0,1,0,0
9,شب هنگام همان سربازان نقاب زده به همان خانه ها می ریختند و به اسم سربازان علی علیه‌السلام #برها را با خشونت می گرفتند و صدای گریه و شیون کودکان بلند می شد! و از فردا رایگان به #دشمنی با #علی_علیه‌السلام می پرداختند! داستان علی دایی، کریمی و سلبریتی ها! احزاب و دسته جات سیاسی در,anger,1,1,0,0,1,0,0
10,فساد در #قضاوت منشأ اصلی #فساد در #وکالت و #کارشناسی است. تنها #سیستم_قضائی_فاسد ی که #حاکمیت_قانون جای خود را به #رابطه و مصلحت اندیشی نابخردانه می دهد، می تواند جایگاه #وکیل و #کارشناس را به یک #دلال و #کارچاق کن تنزل دهد. <URL>,disgust,1,0,0,0,1,0,0
