Epoch 1/10 | Train Loss: 0.5405 | Train Accuracy: 0.8262 | Train F1 Score: 0.8299 | Valid Loss: 1.1206 | Valid Accuracy: 0.6380 | Valid F1 Score: 0.6477 | 
Epoch 2/10 | Train Loss: 0.3509 | Train Accuracy: 0.8920 | Train F1 Score: 0.8948 | Valid Loss: 1.2419 | Valid Accuracy: 0.6323 | Valid F1 Score: 0.6482 | 
Epoch 3/10 | Train Loss: 0.2233 | Train Accuracy: 0.9346 | Train F1 Score: 0.9353 | Valid Loss: 1.3739 | Valid Accuracy: 0.6347 | Valid F1 Score: 0.6518 | 
Epoch 1/10 | Train Loss: 1.5731 | Train Accuracy: 0.4193 | Train F1 Score: 0.3738 | Valid Loss: 1.2010 | Valid Accuracy: 0.5657 | Valid F1 Score: 0.5674 | 
Epoch 2/10 | Train Loss: 1.0371 | Train Accuracy: 0.6335 | Train F1 Score: 0.6399 | Valid Loss: 1.0492 | Valid Accuracy: 0.6209 | Valid F1 Score: 0.6306 | 
Epoch 3/10 | Train Loss: 0.8284 | Train Accuracy: 0.7074 | Train F1 Score: 0.7164 | Valid Loss: 1.0559 | Valid Accuracy: 0.6307 | Valid F1 Score: 0.6398 | 
Epoch 4/10 | Train Loss: 0.6320 | Train Accuracy: 0.7876 | Train F1 Score: 0.7968 | Valid Loss: 1.0548 | Valid Accuracy: 0.6331 | Valid F1 Score: 0.6461 | 
Epoch 5/10 | Train Loss: 0.4550 | Train Accuracy: 0.8583 | Train F1 Score: 0.8655 | Valid Loss: 1.1090 | Valid Accuracy: 0.6429 | Valid F1 Score: 0.6574 | 
Epoch 6/10 | Train Loss: 0.3053 | Train Accuracy: 0.9084 | Train F1 Score: 0.9124 | Valid Loss: 1.2209 | Valid Accuracy: 0.6396 | Valid F1 Score: 0.6504 | 
Epoch 7/10 | Train Loss: 0.2011 | Train Accuracy: 0.9436 | Train F1 Score: 0.9452 | Valid Loss: 1.3418 | Valid Accuracy: 0.6404 | Valid F1 Score: 0.6520 | 
Epoch 1/1000 | Train Loss: 1.6383 | Train Accuracy: 0.3868 | Train F1 Score: 0.3187 | Valid Loss: 1.2999 | Valid Accuracy: 0.5568 | Valid F1 Score: 0.5346 | 
Epoch 2/1000 | Train Loss: 1.0790 | Train Accuracy: 0.6240 | Train F1 Score: 0.6290 | Valid Loss: 1.0622 | Valid Accuracy: 0.6193 | Valid F1 Score: 0.6315 | 
Epoch 3/1000 | Train Loss: 0.8274 | Train Accuracy: 0.7157 | Train F1 Score: 0.7208 | Valid Loss: 1.0704 | Valid Accuracy: 0.6169 | Valid F1 Score: 0.6258 | 
Epoch 4/1000 | Train Loss: 0.6363 | Train Accuracy: 0.7980 | Train F1 Score: 0.8040 | Valid Loss: 1.1390 | Valid Accuracy: 0.6226 | Valid F1 Score: 0.6383 | 
Epoch 5/1000 | Train Loss: 0.4553 | Train Accuracy: 0.8566 | Train F1 Score: 0.8593 | Valid Loss: 1.1831 | Valid Accuracy: 0.6299 | Valid F1 Score: 0.6445 | 
Epoch 6/1000 | Train Loss: 0.2937 | Train Accuracy: 0.9151 | Train F1 Score: 0.9169 | Valid Loss: 1.3391 | Valid Accuracy: 0.6356 | Valid F1 Score: 0.6488 | 
Epoch 7/1000 | Train Loss: 0.2010 | Train Accuracy: 0.9419 | Train F1 Score: 0.9425 | Valid Loss: 1.4724 | Valid Accuracy: 0.6209 | Valid F1 Score: 0.6341 | 
Epoch 8/1000 | Train Loss: 0.1416 | Train Accuracy: 0.9602 | Train F1 Score: 0.9609 | Valid Loss: 1.5916 | Valid Accuracy: 0.6226 | Valid F1 Score: 0.6332 | 
Epoch 9/1000 | Train Loss: 0.1034 | Train Accuracy: 0.9730 | Train F1 Score: 0.9732 | Valid Loss: 1.6733 | Valid Accuracy: 0.6201 | Valid F1 Score: 0.6278 | 
Epoch 10/1000 | Train Loss: 0.0741 | Train Accuracy: 0.9789 | Train F1 Score: 0.9798 | Valid Loss: 1.7329 | Valid Accuracy: 0.6226 | Valid F1 Score: 0.6340 | 
Epoch 11/1000 | Train Loss: 0.0571 | Train Accuracy: 0.9850 | Train F1 Score: 0.9849 | Valid Loss: 1.7804 | Valid Accuracy: 0.6234 | Valid F1 Score: 0.6342 | 
Epoch 12/1000 | Train Loss: 0.0461 | Train Accuracy: 0.9888 | Train F1 Score: 0.9890 | Valid Loss: 1.8807 | Valid Accuracy: 0.6136 | Valid F1 Score: 0.6250 | 
Epoch 13/1000 | Train Loss: 0.0480 | Train Accuracy: 0.9880 | Train F1 Score: 0.9875 | Valid Loss: 1.8986 | Valid Accuracy: 0.6299 | Valid F1 Score: 0.6408 | 
Epoch 14/1000 | Train Loss: 0.0403 | Train Accuracy: 0.9868 | Train F1 Score: 0.9873 | Valid Loss: 1.9105 | Valid Accuracy: 0.6242 | Valid F1 Score: 0.6316 | 
