,text,label
0,"خیلی کوچیک هستن و سایزشون بدرد نمیخوره میخوام پس بدم</s>ADV,ADJ,ADJ,AUX,AUX,CCONJ,NOUN,PRON,NOUN,NOUN,VERB,VERB,VERB,VERB,NOUN,VERB</s>",SAD
1,"از صدای پرنده دم دمای صبح متنفرم متنفرم متنفرم</s>ADP,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,AUX</s>",HATE
2,"کیفیتش خیلی خوبه با شک خریدم ولی واقعا راضیم بعد از حدود ماه استفاده متاسفانه باخبر شدیم که فردی در ایرانشهر به حداقل دختر تجاوز کرده امیدواریم با همکاری نمایندگان محترم مجلس و دستگاه قضا دیگه به این راحتی باخبر نشیم</s>PUNCT,NOUN,NOUN,PRON,ADV,ADJ,AUX,ADP,NOUN,VERB,VERB,CCONJ,ADV,ADJ,AUX,ADP,ADP,NOUN,NUM,NOUN,NOUN,PUNCT,ADV,ADV,ADV,ADJ,ADJ,VERB,AUX,PUNCT,SCONJ,NOUN,ADP,PROPN,PROPN,ADP,ADV,NUM,NOUN,NOUN,VERB,PUNCT,AUX,ADP,NOUN,NOUN,ADJ,NOUN,CCONJ,NOUN,NOUN,PUNCT,ADV,ADP,DET,NOUN,ADJ,ADJ,AUX,AUX,PUNCT</s>",SAD
3,"چون همش با دوربین ثبت شده ایا میشه اعتراض زد و اصن تاثیر داره کسی اگه اطلاعی داره منون میشم راهنمای کنید</s>SCONJ,NOUN,PRON,ADP,NOUN,NOUN,VERB,PUNCT,PART,PART,AUX,NOUN,VERB,PUNCT,CCONJ,ADV,ADV,NOUN,VERB,PUNCT,NOUN,SCONJ,NOUN,ADP,VERB,ADJ,AUX,AUX,NOUN,VERB</s>",OTHER
4,"این وضع ب طرز خنده داری گریه داره</s>DET,NOUN,ADP,NOUN,NOUN,ADJ,ADJ,NOUN,NOUN,VERB,PUNCT</s>",SAD
5,"خب من رسما از یک نفر متنفرم چون از گربه بدش میاد از صبح شروع کرده رو مخ من راه رفتن؛ شپش میگیری کزاز میگیری ک داره درد داره مرض داره و اینقدر تکرار کرده که تا سرم میخاره میپرم جلوی آینه نگاه میکنم یه وقت شپش نگرفته باشم عوضی ازش متنفرم بهش گفته بودم منو رو یه چیزی حساس نکن</s>ADV,PRON,ADV,ADV,ADP,NUM,NOUN,ADJ,ADJ,AUX,PUNCT,SCONJ,SCONJ,ADP,NOUN,NOUN,ADJ,PRON,VERB,ADP,NOUN,NOUN,VERB,ADP,NOUN,PRON,NOUN,NOUN,PUNCT,NOUN,NOUN,NOUN,VERB,VERB,PUNCT,NOUN,NOUN,VERB,VERB,PUNCT,NOUN,NOUN,VERB,PUNCT,NOUN,NOUN,VERB,PUNCT,NOUN,VERB,CCONJ,ADV,NOUN,NOUN,VERB,SCONJ,ADP,PRON,VERB,NOUN,VERB,VERB,VERB,VERB,ADP,NOUN,NOUN,NOUN,VERB,NUM,NOUN,NOUN,NOUN,VERB,VERB,AUX,PUNCT,NOUN,NOUN,ADP,PRON,ADJ,ADJ,AUX,ADP,PRON,VERB,AUX,PRON,ADP,NUM,NOUN,ADJ,VERB</s>",HATE
6,"داشتم خواب میدیدم یهو توی خواب گفتم بیاین درینک بزنیم خواب ترسناک بینیم ی پیک زدیم و دقیقا همونطور شد و من با ضربان از خواب پریدم و ساعت صبحه ذهن بیمارتر از منم دیدین ژانر شنگول منگول خوابمو چرا عوض کردم چرا</s>AUX,NOUN,VERB,VERB,VERB,ADV,ADV,ADP,NOUN,VERB,VERB,VERB,NOUN,NOUN,NOUN,VERB,VERB,NOUN,ADJ,ADJ,VERB,VERB,NOUN,NOUN,VERB,VERB,CCONJ,ADV,DET,DET,NOUN,VERB,CCONJ,PRON,ADP,NOUN,NOUN,NUM,NUM,ADP,NOUN,VERB,VERB,CCONJ,NOUN,NUM,NOUN,AUX,PUNCT,NOUN,ADJ,ADJ,ADP,PRON,PRON,VERB,AUX,PUNCT,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,PRON,ADV,ADJ,VERB,ADV,INTJ,INTJ</s>",FEAR
7,"اصلا ارزش خرید نداره فقط رو مخ میره</s>ADV,NOUN,NOUN,VERB,ADV,ADP,NOUN,VERB,VERB,PUNCT</s>",ANGRY
8,"اونجایه آدمه مفعول ودروغگوعجب خرای داریم واقعاروز روشن میگه شبهاسم اینوچی میشه گذاشت دیگه من دسترسی ندارم بهش میخام بگم یه اسمی خودت بگوبرات بذاریم البته آخرش یه کش داشته باشه</s>PRON,NOUN,AUX,NOUN,AUX,ADJ,ADJ,ADJ,CCONJ,ADJ,ADJ,PUNCT,DET,NOUN,NOUN,VERB,ADV,PUNCT,NOUN,ADJ,VERB,VERB,NOUN,PUNCT,NOUN,NOUN,NOUN,NOUN,AUX,VERB,ADV,PUNCT,PRON,NOUN,VERB,ADP,PRON,VERB,VERB,VERB,NUM,NOUN,ADJ,PRON,PRON,VERB,NOUN,NOUN,VERB,VERB,VERB,ADV,ADV,PRON,NUM,NOUN,NOUN,VERB,AUX,PUNCT</s></s>!,!,!,!</s>",ANGRY
9,"من این گوشی رو اعصابم بهم ریخت کوبیدم تودیوار له شده السیدیش اما هنوزم کارمیکنه حرف نداره گوشیش</s>PRON,DET,NOUN,ADP,NOUN,PRON,ADP,VERB,VERB,VERB,VERB,NOUN,NOUN,NOUN,ADJ,VERB,NOUN,NOUN,NOUN,CCONJ,ADV,ADV,NOUN,NOUN,NOUN,NOUN,NOUN,VERB,NOUN,PRON,PUNCT</s>",HAPPY
10,"تا این مفسد فی الارض به سزای اعمالش نرسه و هزار تومن جریمه نشه من آروم نمی گیریم سعیدطوسی</s>سعید_طوسی</s></s>SCONJ,DET,NOUN,NOUN,ADP,NOUN,ADP,NOUN,ADP,NOUN,PRON,VERB,VERB,CCONJ,NUM,NUM,NOUN,NOUN,NOUN,AUX,PRON,NOUN,NOUN,VERB,VERB,VERB,NOUN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN</s>",ANGRY
